CI_ID,Data_Year,year,treatment,CI_Start_Year,CI_End_Year,forest_loss_ha,Emissions_MgCO2e,n_pixels
BOL1071,2024,2002,TRUE,1994,2099,-2268.145508972168,58175.6964120111,1000
BOL1071,2024,2003,FALSE,1994,2099,-516.0411621322631,13417.716908044615,1000
BOL1071,2024,2003,TRUE,1994,2099,-1037.939651172638,27300.249111226203,1000
BOL1071,2024,2004,FALSE,1994,2099,-1242.2466657714842,37315.6704118251,1000
BOL1071,2024,2004,TRUE,1994,2099,-1265.91123072052,39800.67072419928,1000
BOL1071,2024,2005,FALSE,1994,2099,-3551.450791442871,104256.39249545512,1000
BOL1071,2024,2005,TRUE,1994,2099,-3689.1393280534744,104435.39299533788,1000
BOL1071,2024,2006,FALSE,1994,2099,-5530.780534443855,161733.55798694154,1000
BOL1071,2024,2006,TRUE,1994,2099,-3810.1016244506836,108375.57014377555,1000
BOL1071,2024,2007,FALSE,1994,2099,-4266.134498428344,130298.74943485069,1000
BOL1071,2024,2007,TRUE,1994,2099,-1615.6818304824828,45844.12192784445,1000
BOL1071,2024,2008,FALSE,1994,2099,-2180.2472936525346,59043.69985623995,1000
BOL1071,2024,2008,TRUE,1994,2099,-567.6907374687195,16326.752134168237,1000
BOL1071,2024,2009,FALSE,1994,2099,-4250.920969911575,111540.03614652569,1000
BOL1071,2024,2009,TRUE,1994,2099,-3230.781319284439,88382.2344875331,1000
BOL1071,2024,2010,FALSE,1994,2099,-2869.2383285751343,76413.51414066066,1000
BOL1071,2024,2010,TRUE,1994,2099,-1456.064492348671,37678.25600823188,1000
BOL1071,2024,2011,FALSE,1994,2099,-4881.4789542560575,140508.12888647596,1000
BOL1071,2024,2011,TRUE,1994,2099,-7770.235373524189,196088.251412924,1000
BOL1071,2024,2012,FALSE,1994,2099,-5771.886090648651,146003.98185604435,1000
BOL1071,2024,2012,TRUE,1994,2099,-5542.4249454975125,159163.54829293536,1000
BOL1071,2024,2013,FALSE,1994,2099,-2518.493141298294,61676.06611361511,1000
BOL1071,2024,2013,TRUE,1994,2099,-1272.8245051932333,30264.833701108728,1000
BOL1071,2024,2014,FALSE,1994,2099,-28297.221592483518,800127.5039708617,1000
