ci_divisio,area_ha,rest_area,population,tstor_woody,tstor_soil,tstor_total,carbon_seq_potl
Africa Field Division,3123749.758633021,683946.6162600191,516821.5076550301,330790238.3998499,213908227.31775236,544698465.7176023,879607.4235564314
Americas Field Division,74688914.15635161,1876.6674122720156,1538291.7173295114,16275273701.769175,3901225985.223936,20176499686.99311,1539.4489703216673
Asia-Pacific Field Division,153112373.93547112,90205.33618394911,984775.6635470428,2150185386.971399,989915350.1932278,3140100737.1646266,157999.7444913015
Center for Oceans,3789.38,0,241.3425747156143,0,128771.91833496094,128771.91833496094,0
