ci_id,biome,ci_divisio,ci_divis_1,country,new_or_con,new_or_c_1,ci_sls_1,ci_sls_2,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
IDN1037,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Grassland,14.394320487976074,12.767765045166016,38.72516250610352,4.163516424083573e-5,0
IDN1038,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,1423.0118408203125,817.405029296875,971.7454833984376,0.00954161370089437,0
IDN1038,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,263.9444274902344,191.01834106445312,395.183837890625,0.00176980661254634,0
IDN1038,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Grassland,14.09596061706543,16.377683639526367,38.66586685180664,9.45165789158338e-5,0
IDN1039,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,49.60783004760742,75.6375732421875,181.5221710205078,1.3886903161447258e-4,0
IDN1039,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,38.27336883544922,17.228591918945313,160.212158203125,1.0714005554570124e-4,0
IDN1039,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Grassland,0.36685091257095337,0,0,1.026939314352672e-6,0
IDN1039,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Wetlands,9.859475135803224,22.13916015625,22.13916015625,2.7599993045896173e-5,0
IDN1040,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,3497.251220703125,1903.4744873046875,2250.0205078125,0.01114198840642023,0
IDN1040,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,3464.68798828125,1395.2005615234375,1401.3597412109375,0.01103824431278112,0
IDN1040,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Grassland,700.78680419921875,297.8486633300781,297.8486633300781,0.00223265586456501,0
IDN1041,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,2945.53125,1924.695068359375,2266.81591796875,0.01191135943827021,0
IDN1041,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,1404.5550537109375,838.59100341796875,991.42913818359375,0.00567984471242323,0
IDN1041,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Grassland,120.19590759277344,57.70681381225586,57.70681381225586,4.860571954029128e-4,0
