n_overlaps,origins,ci_id_1,ci_id_2,ci_id_3,ci_id_4,ci_id_5,area_ha,rest_area,population,tstor_woody,tstor_soil,tstor_total,carbon_seq_potl
2,,MDG1012,MDG1062,NA,NA,NA,211.3542127132886,0,33.45261001586914,37798.640625,25585.45703125,63384.09765625,Inf
2,,MDG1012,MDG1063,NA,NA,NA,327.8860327825573,0,39.242095947265625,87274.609375,36485.19140625,123759.80078125,Inf
2,,MDG1012,MDG1064,NA,NA,NA,690.8711060641537,0,52.225406646728516,181559.3125,73343.9609375,254903.2734375,Inf
3,,MDG1012,MDG1064,MDG1065,NA,NA,2.8589779138762736,0,0.21695880591869354,564.15771484375,298.01898193359375,862.17669677734375,Inf
2,,MDG1012,MDG1065,NA,NA,NA,775.7725267437983,0,55.058284759521484,156511.6875,82301.9609375,238813.6484375,Inf
2,,MDG1012,MDG1066,NA,NA,NA,558.1573070904628,0,72.095428466796875,166272.578125,60887.28125,227159.859375,Inf
2,,MDG1012,MDG1067,NA,NA,NA,132.95193425327443,0,19.760591506958008,39246.1953125,14864.435546875,54110.630859375,Inf
3,,MDG1012,MDG1066,MDG1067,NA,NA,0.8633147837441764,0,0.11664620041847229,298.8097229003906,95.13069915771484,393.94042205810547,Inf
2,,MDG1066,MDG1067,NA,NA,NA,0.5768185715933912,0,0.08433907479047775,168.5205078125,62.13731002807617,230.65781784057617,Inf
2,,MDG1012,MDG1068,NA,NA,NA,2259.3780194467467,0,450.5231628417969,464599.78125,270103.125,734702.90625,Inf
2,,MDG1012,MDG1069,NA,NA,NA,1546.9325513019996,0,272.06683349609375,429199.15625,205216.375,634415.53125,Inf
2,,MDG1012,MDG1070,NA,NA,NA,574.9558359467499,0,245.87576293945312,153570.609375,73143.3515625,226713.9609375,Inf
2,,MEX1004,MEX1018,NA,NA,NA,223.62564221454664,0,4.708134174346924,60566.578125,24224.255859375,84790.833984375,Inf
2,,NCL1011,NCL1012,NA,NA,NA,126154927.63051149,0,15.359704971313477,0,138025,138025,Inf
2,,PER1001,PER1004,NA,NA,NA,114.22926113915658,0,16.779251098632813,21376.7578125,12553.044921875,33929.802734375,0
2,,PER1003,PER1005,NA,NA,NA,1.536472811890603,0,0.3211396336555481,334.9155578613281,143.4511260986328,478.36668395996094,0
2,,PER1001,PER1005,NA,NA,NA,64.96749142157763,0,13.406706809997559,10641.908203125,7748.2880859375,18390.1962890625,0
2,,PER1002,PER1005,NA,NA,NA,2.2007406180891196,0,0.226303830742836,154.6829071044922,209.57144165039063,364.2543487548828,0
2,,PER1003,PER1006,NA,NA,NA,1.5364718699220132,0,1.411325216293335,54.39892578125,203.45628356933594,257.85520935058594,0
2,,PER1005,PER1006,NA,NA,NA,3.953025070552479,0,1.2470206022262573,277.8388366699219,542.82275390625,820.6615905761719,Inf
2,,PER1002,PER1006,NA,NA,NA,47.36020862127124,0,12.650979995727539,1712.724609375,6465.32666015625,8178.05126953125,0
3,,PER1001,PER1005,PER1007,NA,NA,1.4109991502530466,0,0.1315668523311615,155.00299072265625,164.56890869140625,319.5718994140625,0
2,,PER1004,PER1007,NA,NA,NA,349.63757517360506,0,29.350692749023438,46318.0546875,38682.3125,85000.3671875,Inf
2,,PER1005,PER1007,NA,NA,NA,5760.6601385154445,0,805.64178466796875,625701.125,672881.6875,1298582.8125,Inf
2,,PER1002,PER1007,NA,NA,NA,16.128320489085045,0,4.606937408447266,1446.3223876953125,1778.76806640625,3225.0904541015625,0
3,,PER1002,PER1005,PER1007,NA,NA,14.913372564069583,0,3.3203582763671875,1331.3778076171875,1775.9251708984375,3107.302978515625,0
2,,PER1005,PER1008,NA,NA,NA,3101.1816768032554,0,742.62115478515625,370349.90625,378028.375,748378.28125,Inf
2,,PER1003,PER1009,NA,NA,NA,242.00428445044128,0,113.61492156982422,41062.296875,27359.716796875,68422.013671875,0
3,,PER1003,PER1005,PER1009,NA,NA,1.5364725364191982,0,0.29936662316322327,345.9118347167969,128.53378295898437,474.44561767578125,0
2,,PER1004,PER1009,NA,NA,NA,2512.4783733781396,0,389.1344909667969,599240.4375,350042.53125,949282.96875,Inf
2,,PHL1025,PHL1037,NA,NA,NA,32.57598114350587,0,29.63462257385254,155.7421112060547,1663.3603515625,1819.1024627685547,Inf
