n_overlaps,ci_id_1,ci_id_2,ci_id_3,ci_id_4,ci_id_5,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
2,KHM1039,KHM1117,NA,NA,NA,Secondary forest,53.55511474609375,96.7667007446289,216.89833068847656,0.01709290788277639,0
2,KHM1039,KHM1117,NA,NA,NA,Grassland,390.86236572265625,807.86651611328125,1527.1385498046875,0.1247495116725284,0
2,KHM1071,KHM1117,NA,NA,NA,Primary forest,162.5405731201172,233.5027313232422,233.5027313232422,0.3214282954691466,0
2,KHM1071,KHM1117,NA,NA,NA,Secondary forest,169.1907501220703,269.4078369140625,272.185546875,0.3345791969165425,0
2,KHM1054,KHM1117,NA,NA,NA,Secondary forest,0.20213022828102112,0,0,8.650879491006607e-5,0
2,KHM1054,KHM1117,NA,NA,NA,Grassland,6.726443290710449,0,96.781494140625,0.0028788197987945226,0
2,KHM1067,KHM1117,NA,NA,NA,Primary forest,570.75518798828125,1337.397705078125,1818.7330322265625,0.21317594241780252,0
2,KHM1067,KHM1117,NA,NA,NA,Secondary forest,180.27877807617188,180.62957763671875,717.53985595703125,0.06733376975472517,0
2,KHM1067,KHM1117,NA,NA,NA,Grassland,37.133155822753906,88.78997802734375,107.89642333984375,0.013869160813699348,0
2,KHM1056,KHM1117,NA,NA,NA,Primary forest,478.6136779785156,1250.2869873046875,1524.8489990234375,0.21103013005515042,0
2,KHM1056,KHM1117,NA,NA,NA,Secondary forest,151.87249755859375,535.7967529296875,547.66619873046875,0.0669635540859516,0
2,KHM1056,KHM1117,NA,NA,NA,Grassland,26.60428237915039,101.9886245727539,101.9886245727539,0.011730348355710955,0
2,KHM1053,KHM1117,NA,NA,NA,Secondary forest,5.763800144195557,0,96.64282989501953,0.002630457882354248,0
2,KHM1053,KHM1117,NA,NA,NA,Grassland,59.80628204345703,0,700.3402099609375,0.027294129234154675,0
2,KHM1038,KHM1117,NA,NA,NA,Primary forest,9.396329879760742,74.098876953125,74.098876953125,0.01377117825750171,0
2,KHM1038,KHM1117,NA,NA,NA,Secondary forest,64.954620361328125,2.2163422107696533,436.8451232910156,0.09519691912593604,0
2,KHM1038,KHM1117,NA,NA,NA,Grassland,2.4539034366607666,0,0,0.0035964192493646192,0
2,KHM1051,KHM1117,NA,NA,NA,Primary forest,85.2218246459961,151.14659118652344,283.28857421875,0.07633264972572565,0
2,KHM1051,KHM1117,NA,NA,NA,Secondary forest,91.48130798339844,95.1357421875,256.2878112792969,0.08193922939053216,0
2,KHM1055,KHM1117,NA,NA,NA,Primary forest,85.35333251953125,0,445.7735595703125,0.11706072141914085,0
2,KHM1055,KHM1117,NA,NA,NA,Secondary forest,34.44528579711914,147.69923400878906,147.82005310058594,0.04724115492475439,0
2,KHM1055,KHM1117,NA,NA,NA,Grassland,26.13312530517578,0,94.10163116455078,0.03584116063026197,0
2,KHM1037,KHM1117,NA,NA,NA,Primary forest,61.66258239746094,138.97103881835937,469.8608703613281,0.04251280722903603,0
2,KHM1037,KHM1117,NA,NA,NA,Secondary forest,52.64813995361328,41.22758483886719,344.51239013671875,0.03629786716340044,0
2,KHM1037,KHM1117,NA,NA,NA,Grassland,2.2343099117279053,19.176517486572266,19.296443939208984,0.0015404282933684625,0
2,KHM1052,KHM1117,NA,NA,NA,Primary forest,132.65785217285156,233.37548828125,734.33270263671875,0.09827966398533883,0
2,KHM1052,KHM1117,NA,NA,NA,Secondary forest,67.91661071777344,5.841904640197754,323.43548583984375,0.05031606927925099,0
2,KHM1052,KHM1117,NA,NA,NA,Grassland,19.72545623779297,0.11945027858018875,122.49125671386719,0.014613618261222955,0
2,KHM1047,KHM1117,NA,NA,NA,Primary forest,487.3251037597656,698.99896240234375,1132.2757568359375,0.36383108203048325,0
2,KHM1047,KHM1117,NA,NA,NA,Secondary forest,58.700103759765625,159.14923095703125,159.62640380859375,0.043824793964944986,0
2,KHM1047,KHM1117,NA,NA,NA,Grassland,8.291594505310059,0,40.198543548583984,0.006190405085538372,0
2,KHM1014,KHM1118,NA,NA,NA,Wetlands,1.3983794450759888,3.82379150390625,3.82379150390625,0.3657046845311043,0
2,KHM1014,KHM1119,NA,NA,NA,Wetlands,13.744662284851074,16.45709228515625,16.45709228515625,0.8351855474879146,0
2,KHM1020,KHM1121,NA,NA,NA,Grassland,1.8413655757904053,0,2.8965351581573486,0.23839182730534383,0
2,KHM1020,KHM1121,NA,NA,NA,Wetlands,3.5118749141693115,4.827524185180664,4.827524185180664,0.45466380444157645,0
2,KHM1030,KHM1123,NA,NA,NA,Wetlands,4.894841194152832,5.708925247192383,5.708925247192383,0.8574003763160987,0
4,MDG1004,MDG1013,MDG1028,MDG1088,NA,Primary forest,0.5192750692367554,0.8020452857017517,1.7812694311141968,0.29151543356880927,0
3,MDG1005,MDG1013,MDG1089,NA,NA,Secondary forest,0.2085857093334198,0.5089345574378967,0.5089345574378967,0.4098378816684805,0
3,MDG1006,MDG1013,MDG1090,NA,NA,Secondary forest,0.0043230848386883736,0,0.13219435513019562,0.011858539774285613,0
3,MDG1006,MDG1013,MDG1090,NA,NA,Grassland,8.060830441536382e-5,0,0,2.2111450959572983e-4,0
3,MDG1010,MDG1013,MDG1093,NA,NA,Primary forest,0.45151376724243164,0,1.5425310134887695,0.2927138806370899,0
2,MDG1013,MDG1095,NA,NA,NA,Secondary forest,0.023385461419820786,0,0.715097188949585,0.032701771708717985,0
2,MDG1019,MDG1096,NA,NA,NA,Secondary forest,0.274687260389328,0,0.7704821825027466,0.35651014008748816,0
2,MDG1013,MDG1098,NA,NA,NA,Secondary forest,0.24378208816051483,0,1.065177321434021,0.22887040007773046,0
2,MDG1075,MDG1100,NA,NA,NA,Secondary forest,0.07356331497430801,0.06443649530410767,0.06443649530410767,0.02949003328490394,0
2,MDG1075,MDG1101,NA,NA,NA,Grassland,7.97315442468971e-4,0,0,2.102797135899583e-4,0
2,MDG1074,MDG1105,NA,NA,NA,Grassland,0.004584915935993195,0,0,2.4190348832452146e-4,0
2,COL1007,COL1076,NA,NA,NA,Primary forest,5.146149158477783,4.627282619476318,4.627282619476318,0.006260930887254821,0
2,COL1007,COL1076,NA,NA,NA,Secondary forest,0.812661349773407,0,4.171846866607666,9.887036673417253e-4,0
2,COL1007,COL1076,NA,NA,NA,Grassland,67.40677642822266,91.07317352294922,91.07317352294922,0.08200873226818294,0
2,COL1007,COL1076,NA,NA,NA,Wetlands,18.91730308532715,34.793128967285156,39.64561080932617,0.02301525345322868,0
2,COL1006,COL1076,NA,NA,NA,Grassland,3.7439193725585938,0,0,0.01067325762740702,0
2,COL1003,COL1079,NA,NA,NA,Grassland,0.12497512251138687,0.040288202464580536,0.040288202464580536,0.002740098907815419,0
2,COL1003,COL1079,NA,NA,NA,Wetlands,11.633021354675293,4.416896820068359,4.416896820068359,0.25505579404921114,0
2,COL1003,COL1079,NA,NA,NA,Mangroves,54.30707931518555,29.693248748779297,29.693248748779297,1.1906911209839142,54.30707931518555
3,COL1103,COL1141,COL1144,NA,NA,Secondary forest,0.002860592445358634,0,0,0.003221569802631771,0
3,COL1119,COL1123,COL1150,NA,NA,Secondary forest,0.04323404282331467,0,0,0.052362272175905965,0
2,COL1086,COL1154,NA,NA,NA,Secondary forest,0.03682296723127365,0,0,0.03615761485592979,0
2,COL1109,COL1155,NA,NA,NA,Secondary forest,0.03682296350598335,0,0,0.036157591976748546,0
2,COL1115,COL1156,NA,NA,NA,Secondary forest,0.06240617483854294,0,0,0.06127853375343783,0
2,COL1117,COL1157,NA,NA,NA,Secondary forest,0.129861980676651,0,0,0.12751545905405318,0
2,COL1152,COL1158,NA,NA,NA,Secondary forest,0.1386030912399292,0,0,0.13609857815984824,0
3,COL1163,COL1164,COL1165,NA,NA,Secondary forest,0.12279989570379257,0,0.5173787474632263,0.237350220545768,0
2,COL1183,COL1189,NA,NA,NA,Primary forest,0.283664733171463,0.9831852316856384,0.9831852316856384,0.28851618155754577,0
