ci_id,biome,ci_divisio,ci_divis_1,country,new_or_con,new_or_c_1,ci_sls_1,ci_sls_2,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
FJI1004,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Wetlands,1.7952064275741577,4.862802505493164,4.862802505493164,0.07508182465805761,0
FJI1010,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,1.8238577467855066e-4,0,0,1.8034784404088862e-6,0
FJI1055,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,Fiji,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,1.7329091497231275e-4,0,0,4.125974166007446e-5,0
IDN1002,Terrestrial,Asia-Pacific Field Division,NA,Indonesia,Continued this year,Continued this year,Not Applicable,Not Applicable,Primary forest,0.4232749342918396,2.763603448867798,2.763603448867798,0.0012669488290336125,0
IDN1002,Terrestrial,Asia-Pacific Field Division,NA,Indonesia,Continued this year,Continued this year,Not Applicable,Not Applicable,Secondary forest,9.508426666259766,10.476751327514648,10.476751327514648,0.028460674268190506,0
MDG1002,Terrestrial,Africa Field Division,Africa Field Division,Madagascar,Continued this year,Continued this year,CAZ + COFAV Corridors,Ankeniheny-Zahamena (CAZ) Corridor,Grassland,0.15894101560115814,0,1.8372527360916138,0.08638098673975986,0
MDG1004,Terrestrial,Africa Field Division,Africa Field Division,Madagascar,Continued this year,Continued this year,CAZ + COFAV Corridors,Ambositra-Vondrozo (COFAV) Corridor,Primary forest,0.5192753672599792,0.8020457029342651,1.7812703847885132,0.2917277344157187,0
MDG1005,Terrestrial,Africa Field Division,Africa Field Division,Madagascar,Continued this year,Continued this year,CAZ + COFAV Corridors,Ambositra-Vondrozo (COFAV) Corridor,Secondary forest,0.2085859775543213,0.5089352130889893,0.5089352130889893,0.40899211285161036,0
MDG1006,Terrestrial,Africa Field Division,Africa Field Division,Madagascar,Continued this year,Continued this year,CAZ + COFAV Corridors,Ambositra-Vondrozo (COFAV) Corridor,Secondary forest,0.004323089029639959,0,0.13219447433948517,0.012008580637888776,0
MDG1006,Terrestrial,Africa Field Division,Africa Field Division,Madagascar,Continued this year,Continued this year,CAZ + COFAV Corridors,Ambositra-Vondrozo (COFAV) Corridor,Grassland,8.060836262302473e-5,0,0,2.2391211839729093e-4,0
